"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit"
"Istalol","Timolol Maleate",12,7154.2,410,130004.9,10251.5
"Furoscix","Furosemide",1,1388,1388,10198,10198
"Flolan","Epoprostenol Sodium (Glycine)",9,NA,NA,2922.4,10189
"Orbactiv","Oritavancin Diphosphate",6,118.2,49,11477.8,10182
"Nextstellis","Drospirenone/Estetrol",3,37.3,62,5376,10164
"Easy Touch Insulin Safety","Syringe,Needle,Insuln,Safe,1ml",11,112.6,50,35169.5,10126
"Raya Sure Pen Needle","Pen Needle, Diabetic",1,19,19,10100,10100
"Actonel","Risedronate Sodium",12,44850.2,398,933608,10094
"Chantix","Varenicline Tartrate",12,163744.7,136,22025568.3,10088
"Orenitram Month 1 Titration Kt","Treprostinil Diolamine",1,59,59,10080,10080
"Dolishale","Levonorgestrel/Ethin.Estradiol",3,36.3,57,5964.7,10026
"Necon","Norethindrone-Ethin. Estradiol",9,977.6,64,40021.3,9998
"Sandostatin Lar Depot","Octreotide Acetate,Mi-Spheres",9,1271.9,1252,10178.8,9981
"Tricare","Prenatal Vit103/Iron Fum/Folic",10,70.6,83,7994.4,9973
"Zovirax*","Acyclovir",10,9911,305,129281.7,9895
"Levalbuterol Concentrate","Levalbuterol HCl",12,229.7,128,24003.9,9889
"Cortrophin","Corticotropin",2,213,326,6208.5,9854
"Sancuso","Granisetron",12,2145.2,1178,15963.5,9813
"Insulin Syringe","Syringe,Insulin,Needless 1 Ml",10,134.6,84,20553.2,9786
"Fragmin","Dalteparin Sodium,Porcine",9,766.8,87,27878.7,9708.46
"Doxorubicin HCl Liposome","Doxorubicin HCl PEG-Liposomal",11,55.5,77,6427.3,9700
"Humira(Cf) Pen Crohn'S-Uc-Hs","Adalimumab",6,2513,3111,7920.7,9647.4
"Provera","Medroxyprogesterone Acetate",12,233.2,54,38416,9569
"Leukine","Sargramostim",8,214.2,113,21667.2,9568
"Turalio","Pexidartinib Hydrochloride",4,14.3,19,6211.8,9424
"Healthwise Insulin Syringe","Syringe And Needle,Insulin,1ml",5,40.2,38,10178.8,9412
"Solu-Medrol","Methylprednisolone Sod Succ",12,679,145,67181.4,9408.205
"Testopel","Testosterone",10,400.7,423,7950.1,9384
"Pyrukynd","Mitapivat Sulfate",2,20,26,6328,9352
"Panretin","Alitretinoin",9,55.3,58,7913.3,9300
"Calan SR","Verapamil HCl",12,649.4,90,213182.6,9298
"Nutropin Aq Nuspin","Somatropin",12,318.8,346,10073.3,9294
"Vuity","Pilocarpine HCl",3,1488,1260,8090,9275
"Philith","Norethindrone-Ethin. Estradiol",9,69.4,35,14212.1,9224
