"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit"
"Advair Diskus","Fluticasone Propion/Salmeterol",10,864364.8,397554,285120220.8,123485894.8
"Acetaminophen-Codeine","Acetaminophen With Codeine",12,1375739.9,1131972,167193409.1,122934247.87
"Valacyclovir","Valacyclovir HCl",12,921109.5,1382297,73425708.9,122812867.5
"Fenofibrate","Fenofibrate Nanocrystallized",12,403651.5,445258,97972236.3,122809348.32
"Ondansetron ODT","Ondansetron",12,1237091.1,2510273,56501844.7,122468269.33
"Ultra-Fine Mini Pen Needle","Pen Needle, Diabetic",10,332988.9,308396,129324768.3,122069040
"Morphine Sulfate ER","Morphine Sulfate",12,372696.5,255247,180778518.6,122020898.35
"Fluticasone-Salmeterol","Fluticasone Propion/Salmeterol",7,243633.9,464129,55935910.7,121280122.73
"Levocetirizine Dihydrochloride","Levocetirizine Dihydrochloride",12,397029.4,642854,64939799.4,120274191.27
"Methylprednisolone","Methylprednisolone",12,2874538.2,4135771,83522172.9,117838170.01
"Hydroxyzine Pamoate","Hydroxyzine Pamoate",12,317115.7,419149,79471961,117764566.91
"Ultra-Fine Short Pen Needle","Pen Needle, Diabetic",10,346335,287005,136916480.6,115104728.46
"Benztropine Mesylate*","Benztropine Mesylate",10,286199.5,256301,121522079.5,112468136.34
"Metoclopramide HCl*","Metoclopramide HCl",10,443197,402098,126146676,108272194.38
"Anoro Ellipta","Umeclidinium Brm/Vilanterol Tr",10,241182.3,294512,81597603.8,108144710
"Methotrexate*","Methotrexate Sodium",10,479447.9,528748,93138867.5,107549803.79
"Anastrozole","Anastrozole",12,304595.8,409158,79012380.3,105545495.2
"Nortriptyline HCl","Nortriptyline HCl",12,315758.6,302986,97531877,105149503.45
"Lantus Solostar","Insulin Glargine,Hum.Rec.Anlog",12,1005501.5,1198294,92780140.2,104272932.8
"Phenytoin Sodium Extended","Phenytoin Sodium Extended",12,177255.8,110333,157373406.2,102203256.38
